time,symbol,side,entry_price,mark_price,position_amt,unrealized_pnl,roe_pct
2026-03-26 22:00:26,CYSUSDT,多,0.414000,0.387588,72.0000,-1.9017,-19.14
2026-03-26 22:00:26,TRIAUSDT,多,0.033900,0.029683,885.0000,-3.7321,-37.32
2026-03-26 22:00:26,NAORISUSDT,空,0.064925,0.063870,462.0000,0.4874,4.87
2026-03-26 22:00:26,ONTUSDT,多,0.061300,0.054345,489.3000,-3.4029,-34.04
2026-03-26 22:00:26,RIVERUSDT,多,20.731000,18.318000,1.4000,-3.3782,-34.92
2026-03-26 22:00:26,SIGNUSDT,多,0.038440,0.031773,779.0000,-5.1937,-52.03
2026-03-26 22:00:26,SUPERUSDT,空,0.131800,0.120626,227.0000,2.5365,25.43
2026-03-26 22:00:26,DYDXUSDT,空,0.088000,0.086602,338.9000,0.4739,4.77
2026-03-26 22:00:26,DUSKUSDT,多,0.115820,0.116670,258.0000,0.2193,2.20
2026-03-26 23:00:41,MONUSDT,空,0.026620,0.024150,1126.0000,2.7812,27.84
2026-03-26 23:00:41,NIGHTUSDT,多,0.044600,0.046460,672.0000,1.2499,12.51
2026-03-26 23:00:41,HUMAUSDT,多,0.019136,0.016786,1567.0000,-3.6824,-36.84
2026-03-26 23:00:41,MANTRAUSDT,空,0.013050,0.012380,2298.0000,1.5397,15.40
2026-03-26 23:00:41,ONDOUSDT,空,0.269600,0.264278,111.2000,0.5918,5.92
2026-03-26 23:00:41,PIPPINUSDT,多,0.049181,0.058647,609.0000,5.7652,57.75
2026-03-26 23:00:41,TRADOORUSDT,空,2.240000,2.461000,13.0000,-2.8730,-29.60
2026-03-26 23:00:41,ZECUSDT,多,232.080000,224.440000,0.1290,-0.9856,-9.88
2026-03-26 23:00:41,AXLUSDT,多,0.050100,0.048219,598.8000,-1.1263,-11.26
2026-03-26 23:00:41,币安人生USDT,多,0.048550,0.046739,617.0000,-1.1176,-11.19
2026-03-26 23:00:41,DOTUSDT,多,1.357000,1.328523,22.1000,-0.6293,-6.30
2026-03-26 23:00:41,ZROUSDT,多,2.144100,2.088100,13.9000,-0.7784,-7.84
2026-03-26 23:00:41,MUSDT,空,2.452700,2.134500,12.0000,3.8184,38.92
2026-03-26 23:00:41,ZKCUSDT,空,0.079470,0.073024,377.0000,2.4302,24.33
2026-03-26 23:00:41,RESOLVUSDT,多,0.044090,0.040116,680.0000,-2.7023,-27.04
2026-03-26 23:00:41,BEATUSDT,空,0.663100,0.598898,45.0000,2.8891,29.05
2026-03-26 23:00:41,JCTUSDT,多,0.002696,0.003143,11128.0000,4.9763,49.76
2026-03-26 23:00:41,BSBUSDT,空,0.166580,0.163360,180.0000,0.5796,5.80
2026-03-26 23:00:41,KASUSDT,空,0.038630,0.036776,776.0000,1.4384,14.40
2026-03-26 23:00:41,ARIAUSDT,多,0.278490,0.280976,107.0000,0.2660,2.68
2026-03-26 23:00:41,CFGUSDT,空,0.141300,0.138234,212.0000,0.6500,6.51
